"id" "treatment"
"810" 1686 "Both"
"811" 1690 "E2"
"812" 1690 "Both"
"813" 1693 "E2"
"814" 1693 "Both"
"815" 1694 "E2"
"816" 1694 "Both"
"817" 1695 "E2"
"818" 1695 "Both"
"819" 1702 "E2"
"820" 1702 "Akt knockout"
"821" 1708 "E2"
"822" 1716 "E2"
"823" 1717 "E2"
"824" 1717 "Both"
"825" 1720 "E2"
"826" 1720 "Both"
"827" 1724 "Both"
"828" 1728 "Akt knockout"
"829" 1732 "E2"
"830" 1734 "Akt knockout"
"831" 1739 "E2"
"832" 1739 "Akt knockout"
"833" 1739 "Both"
"834" 1741 "E2"
"835" 1741 "Both"
"836" 1744 "E2"
"837" 1744 "Both"
"838" 1745 "E2"
"839" 1745 "Both"
"840" 1749 "Akt knockout"
"841" 1751 "Akt knockout"
"842" 1756 "Akt knockout"
"843" 1757 "E2"
"844" 1757 "Both"
"845" 1758 "E2"
"846" 1758 "Both"
"847" 1761 "Both"
"848" 1764 "Akt knockout"
"849" 1765 "E2"
"850" 1765 "Akt knockout"
"851" 1765 "Both"
"852" 1767 "Akt knockout"
"853" 1768 "E2"
"854" 1768 "Both"
"855" 1770 "E2"
"856" 1770 "Akt knockout"
"857" 1772 "Akt knockout"
"858" 1772 "Both"
"859" 1773 "Akt knockout"
"860" 1781 "E2"
"861" 1781 "Both"
"862" 1788 "Akt knockout"
"863" 1801 "Akt knockout"
"864" 1802 "Both"
"865" 1803 "Both"
"866" 1804 "Akt knockout"
"867" 1805 "Akt knockout"
"868" 1807 "E2"
"869" 1807 "Both"
"870" 1809 "Akt knockout"
"871" 1810 "E2"
"872" 1810 "Both"
"873" 1811 "E2"
"874" 1811 "Both"
"875" 1814 "E2"
"876" 1814 "Akt knockout"
"877" 1814 "Both"
"878" 1815 "E2"
"879" 1820 "Both"
"880" 1821 "E2"
"881" 1821 "Both"
"882" 1823 "Akt knockout"
"883" 1824 "Both"
"884" 1825 "E2"
"885" 1825 "Both"
"886" 1827 "E2"
"887" 1831 "Akt knockout"
"888" 1837 "Akt knockout"
"889" 1843 "E2"
"890" 1843 "Both"
"891" 1845 "E2"
"892" 1846 "E2"
"893" 1846 "Both"
"894" 1847 "E2"
"895" 1847 "Both"
"896" 1850 "E2"
"897" 1850 "Akt knockout"
"898" 1855 "E2"
"899" 1859 "E2"
"900" 1859 "Both"
"901" 1863 "Akt knockout"
"902" 1863 "Both"
"903" 1866 "E2"
"904" 1868 "Both"
"905" 1878 "E2"
"906" 1878 "Akt knockout"
"907" 1878 "Both"
"908" 1879 "E2"
"909" 1879 "Akt knockout"
"910" 1879 "Both"
"911" 1881 "E2"
"912" 1885 "E2"
"913" 1885 "Akt knockout"
"914" 1886 "E2"
"915" 1886 "Both"
"916" 1897 "E2"
"917" 1897 "Akt knockout"
"918" 1897 "Both"
"919" 1900 "Akt knockout"
"920" 1904 "Akt knockout"
"921" 1905 "Akt knockout"
"922" 1905 "Both"
"923" 1908 "E2"
"924" 1908 "Both"
"925" 1913 "E2"
"926" 1913 "Akt knockout"
"927" 1913 "Both"
"928" 1916 "E2"
"929" 1916 "Both"
"930" 1920 "Both"
"931" 1922 "Akt knockout"
"932" 1922 "Both"
"933" 1924 "E2"
"934" 1929 "Akt knockout"
"935" 1934 "Both"
"936" 1941 "E2"
"937" 1941 "Both"
"938" 1942 "E2"
"939" 1942 "Akt knockout"
"940" 1951 "Both"
"941" 1953 "E2"
"942" 1953 "Both"
"943" 1954 "E2"
"944" 1954 "Both"
"945" 1955 "E2"
"946" 1955 "Both"
"947" 1956 "E2"
"948" 1956 "Both"
"949" 1957 "E2"
"950" 1957 "Akt knockout"
"951" 1957 "Both"
"952" 1958 "E2"
"953" 1958 "Both"
"954" 1960 "E2"
"955" 1960 "Both"
"956" 1961 "Akt knockout"
"957" 1962 "E2"
"958" 1963 "Akt knockout"
"959" 1966 "E2"
"960" 1966 "Akt knockout"
"961" 1966 "Both"
"962" 1977 "E2"
"963" 1977 "Both"
"964" 1978 "E2"
"965" 1983 "Both"
"966" 1988 "Akt knockout"
"967" 1996 "Akt knockout"
"968" 1999 "E2"
"969" 1999 "Both"
"970" 2000 "E2"
"971" 2007 "E2"
"972" 2007 "Both"
"973" 2008 "E2"
"974" 2008 "Both"
"975" 2009 "E2"
"976" 2011 "Akt knockout"
"977" 2015 "E2"
"978" 2015 "Akt knockout"
"979" 2015 "Both"
"980" 2018 "E2"
